"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001614485.1_ASM161448v1_genomic","GCA_001683595.1_NGF2_genomic","GCA_001891695.1_ASM189169v1_genomic","GCA_001891995.1_ASM189199v1_genomic","GCA_001901445.1_ASM190144v1_genomic","GCA_001911775.1_ASM191177v1_genomic"
"group_1449","","hypothetical protein","2","2","1","63","3270","21","11","","1013","1280","1146","GCA_001614485_03315","GCA_001683595_00866","","","",""
"intA_3","","Prophage integrase IntA","2","2","1","63","3265","21","9","","1043","1262","1152","GCA_001614485_03317","GCA_001683595_00864","","","",""
"ompD_2","","Outer membrane porin protein OmpD","2","2","1","63","4614","152","1","","1058","1058","1058","GCA_001614485_03328","GCA_001683595_00827","","","",""
"intS_2","","Prophage integrase IntS","2","2","1","63","1085","70","4","","1184","1190","1187","GCA_001614485_03580","","GCA_001891695_05033","","",""
"group_1503","","hypothetical protein","2","2","1","63","317","191","1","","299","299","299","GCA_001614485_03701","GCA_001683595_03983","","","",""
"group_1533","","hypothetical protein","2","2","1","63","8046","49","1","","848","848","848","GCA_001614485_03906","GCA_001683595_00125","","","",""
"hxlB","","3-hexulose-6-phosphate isomerase","2","2","1","63","7967","1","422","","302","557","429","GCA_001614485_03918","GCA_001683595_00140","","","",""
"group_1544","ycbF","putative fimbrial chaperone YcbF","2","2","1","63","1324","17","10","","776","779","777","GCA_001614485_03987","GCA_001683595_04519","","","",""
"patB_2","","Cystathionine beta-lyase PatB","2","2","1","63","8107","3","29","","1175","1175","1175","GCA_001614485_04084","GCA_001683595_03688","","","",""
"malX_2","","PTS system maltose-specific EIICB component","2","2","1","63","8108","3","28","","1580","1580","1580","GCA_001614485_04085","GCA_001683595_03689","","","",""
"group_1555","","hypothetical protein","2","2","1","63","7805","293","1","","407","407","407","GCA_001614485_04094","GCA_001683595_03698","","","",""
"group_158","","Invasin","2","2","1","63","3264","327","2","","5279","5603","5441","","","","GCA_001891995_04769","","GCA_001911775_02669"
"group_1580","yadK","putative fimbrial-like protein YadK","2","2","1","63","2878","42","8","","596","596","596","GCA_001614485_04249","GCA_001683595_02988","","","",""
"group_1581","yadL","putative fimbrial-like protein YadL","2","2","1","63","2879","42","7","","608","608","608","GCA_001614485_04250","GCA_001683595_02989","","","",""
"group_1582","yadN","putative fimbrial-like protein YadN","2","2","1","63","2883","42","3","","590","590","590","GCA_001614485_04254","GCA_001683595_02993","","","",""
"group_1584","","hypothetical protein","2","2","1","63","6952","1","1824","","611","689","650","GCA_001614485_04304","","","","","GCA_001911775_04269"
"emrB_1","","Multidrug export protein EmrB","2","2","1","63","6961","92","1","","398","1511","954","GCA_001614485_04319","GCA_001683595_03419","","","",""
"emrK_3","","putative multidrug resistance protein EmrK","2","2","1","63","6962","92","2","","305","1028","666","GCA_001614485_04320","GCA_001683595_03418","","","",""
"nimR_2","","HTH-type transcriptional regulator NimR","2","2","1","63","6963","92","3","","647","815","731","GCA_001614485_04321","GCA_001683595_03417","","","",""
"group_1599","","hypothetical protein","2","2","1","63","1640","1","490","","497","497","497","GCA_001614485_04493","GCA_001683595_04343","","","",""
"group_16","","hypothetical protein","2","2","1","63","3318","1","814","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","818","821","819","","","GCA_001891695_01311","GCA_001891995_00447","",""
"dgoA","","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","2","2","1","63","1038","306","7","","617","617","617","","","GCA_001891695_05161","GCA_001891995_04168","",""
"aidA-I_2","","AIDA-I autotransporter","2","2","1","63","6317","68","6","","2771","3764","3267","GCA_001614485_04588","GCA_001683595_01159","","","",""
"group_162","","hypothetical protein","2","2","1","63","6947","1","1893","","371","2960","1665","","","GCA_001891695_04862","","","GCA_001911775_01703"
"group_1629","","hypothetical protein","2","2","1","63","6945","1","1891","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","548","548","548","GCA_001614485_04713","","","","","GCA_001911775_01701"
"group_1633","","hypothetical protein","2","2","1","63","7563","1","2100","","251","599","425","GCA_001614485_04725","","","","","GCA_001911775_00553"
"group_1634","","hypothetical protein","2","2","1","63","2196","1","275","","479","1538","1008","GCA_001614485_04728","","","GCA_001891995_03234","",""
"group_1640","","hypothetical protein","2","2","1","63","3317","1","813","","140","410","275","GCA_001614485_04755","","","GCA_001891995_00446","",""
"group_1641","","hypothetical protein","2","2","1","63","3315","1","812","","488","683","585","GCA_001614485_04756","","","GCA_001891995_03387","",""
"group_1642","","hypothetical protein","2","2","1","63","3302","1","811","","788","1070","929","GCA_001614485_04757","","","GCA_001891995_03386","",""
"group_1643","","hypothetical protein","2","2","1","68","2","101","2","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","395","395","395","GCA_001614485_04763","","GCA_001891695_00627","","",""
"group_1649","","hypothetical protein","2","2","1","63","6877","1","1798","","737","1094","915","GCA_001614485_04799","","GCA_001891695_04240","","",""
"group_1655","","hypothetical protein","2","2","1","63","2787","1","128","","254","425","339","GCA_001614485_04834","","GCA_001891695_02154","","",""
"group_1659","","hypothetical protein","2","2","1","63","1654","1","524","","1223","1223","1223","GCA_001614485_04848","","GCA_001891695_04242","","",""
"group_1660","","hypothetical protein","2","2","1","63","4381","1","1401","","575","575","575","","GCA_001683595_00031","","GCA_001891995_02920","",""
"dnaT_1","","Primosomal protein 1","2","2","1","63","4287","1","1339","","251","251","251","","GCA_001683595_00058","","GCA_001891995_02192","",""
"gspI","","Putative type II secretion system protein I","2","2","1","63","1132","10","14","","377","377","377","","GCA_001683595_00296","GCA_001891695_04499","","",""
"rfbA","","Glucose-1-phosphate thymidylyltransferase 1","2","2","1","63","5506","479","21","","875","878","876","","GCA_001683595_00970","","GCA_001891995_00346","",""
"rfbD","","dTDP-4-dehydrorhamnose reductase","2","2","1","63","5505","479","20","","899","899","899","","GCA_001683595_00971","","GCA_001891995_00345","",""
"rfbB","","dTDP-glucose 4,6-dehydratase","2","2","1","63","6543","479","19","","1085","1085","1085","","GCA_001683595_00972","","GCA_001891995_00344","",""
"group_1681","","hypothetical protein","2","2","1","63","3349","1","478","","1001","1022","1011","","GCA_001683595_01507","GCA_001891695_01326","","",""
"vnfA","","Nitrogen fixation protein VnfA","2","2","1","63","7289","473","24","","986","986","986","","GCA_001683595_01537","","","GCA_001901445_02109",""
"fliE_2","","Flagellar hook-basal body complex protein FliE","2","2","1","63","7288","473","25","","341","341","341","","GCA_001683595_01538","","","GCA_001901445_02110",""
"fliF_1","","Flagellar M-ring protein","2","2","1","63","7287","473","26","","1646","1646","1646","","GCA_001683595_01539","","","GCA_001901445_02111",""
"group_1687","","hypothetical protein","2","2","1","63","7283","473","30","","434","434","434","","GCA_001683595_01543","","","GCA_001901445_02115",""
"tagD","","Glycerol-3-phosphate cytidylyltransferase","2","2","1","63","7282","473","31","","395","395","395","","GCA_001683595_01544","","","GCA_001901445_02116",""
"group_1689","","hypothetical protein","2","2","1","63","7302","473","35","","428","428","428","","GCA_001683595_01549","","","GCA_001901445_02119",""
"flgD_1","","Basal-body rod modification protein FlgD","2","2","1","63","7309","473","40","","713","713","713","","GCA_001683595_01554","","","GCA_001901445_02124",""
"flgJ_1","","Peptidoglycan hydrolase FlgJ","2","2","1","63","7315","473","46","","299","299","299","","GCA_001683595_01560","","","GCA_001901445_02130",""
"flgL_1","","Flagellar hook-associated protein 3","2","2","1","63","7317","473","11","","929","929","929","","GCA_001683595_01562","","","GCA_001901445_02132",""
"group_1693","","hypothetical protein","2","2","1","63","7318","473","10","","977","977","977","","GCA_001683595_01563","","","GCA_001901445_02133",""
"group_1694","","hypothetical protein","2","2","1","63","7319","473","9","","842","842","842","","GCA_001683595_01564","","","GCA_001901445_02134",""
"group_1695","","hypothetical protein","2","2","1","63","7323","473","5","","311","311","311","","GCA_001683595_01568","","","GCA_001901445_02138",""
"group_1696","","hypothetical protein","2","2","1","63","7325","473","3","","467","467","467","","GCA_001683595_01570","","","GCA_001901445_02140",""
"group_1702","","hypothetical protein","2","2","1","63","5619","472","17","","569","569","569","","GCA_001683595_02118","","","GCA_001901445_02749",""
"dam_2","","DNA adenine methylase","2","2","1","63","5609","472","26","","857","857","857","","GCA_001683595_02127","","","GCA_001901445_02756",""
"group_1706","","hypothetical protein","2","2","1","63","5585","472","44","","428","428","428","","GCA_001683595_02143","GCA_001891695_02887","","",""
"intA_2","","Prophage integrase IntA","2","2","1","63","5973","1","260","","1202","1208","1205","","GCA_001683595_02327","","GCA_001891995_03218","",""
"group_1714","","hypothetical protein","2","2","1","63","4101","1","808","","218","1235","726","","GCA_001683595_02732","","","GCA_001901445_01736",""
"group_1715","","hypothetical protein","2","2","1","63","4110","1","809","","467","1133","800","","GCA_001683595_02733","GCA_001891695_01323","","",""
"group_1716","","hypothetical protein","2","2","1","63","4107","1","799","","833","833","833","","GCA_001683595_02736","","","GCA_001901445_01741",""
"group_1721","","hypothetical protein","2","2","1","63","5208","1","1909","","218","218","218","","GCA_001683595_03172","GCA_001891695_03167","","",""
"group_1722","","hypothetical protein","2","2","1","63","3047","1","25","","539","539","539","","GCA_001683595_03184","GCA_001891695_03157","","",""
"group_1723","","hypothetical protein","2","2","1","63","3046","1","24","","1004","1004","1004","","GCA_001683595_03185","GCA_001891695_03156","","",""
"group_1728","","hypothetical protein","2","2","1","63","7651","1","1231","","1832","1838","1835","","GCA_001683595_03724","","","","GCA_001911775_02404"
"group_1729","","hypothetical protein","2","2","1","63","7650","1","1230","","197","203","200","","GCA_001683595_03725","","","","GCA_001911775_02405"
"group_1730","","hypothetical protein","2","2","1","63","7645","1","1225","","338","338","338","","GCA_001683595_03730","","","","GCA_001911775_02409"
"group_1731","","hypothetical protein","2","2","1","63","7644","1","1224","","410","410","410","","GCA_001683595_03731","","","","GCA_001911775_02410"
"group_1732","","hypothetical protein","2","2","1","63","7637","1","1198","","188","188","188","","GCA_001683595_03736","","","","GCA_001911775_02415"
"rfaL","","O-antigen ligase","2","2","1","63","1589","33","3","","1253","1253","1253","","GCA_001683595_04299","","","","GCA_001911775_04007"
"fucK_2","","L-fuculokinase","2","2","1","63","1404","32","10","","1508","1508","1508","","GCA_001683595_04581","","","","GCA_001911775_00781"
"ptsH_2","","Phosphocarrier protein HPr","2","2","1","63","1405","32","9","","269","269","269","","GCA_001683595_04582","","","","GCA_001911775_00782"
"group_1766","","hypothetical protein","2","2","1","63","3821","9","8","","557","557","557","","","GCA_001891695_00925","GCA_001891995_03486","",""
"group_1769","","hypothetical protein","2","2","1","63","2176","1","315","","1262","1262","1262","","","GCA_001891695_01084","","GCA_001901445_04580",""
"aspA_1","","Aspartate ammonia-lyase","2","2","1","63","4515","1","1057","","821","1400","1110","","","GCA_001891695_01139","GCA_001891995_00448","",""
"group_1771","","hypothetical protein","2","2","1","63","2423","1","494","","866","866","866","","","GCA_001891695_01181","GCA_001891995_03198","",""
"group_1774","","Insertion sequence IS5376 putative ATP-binding protein","2","2","1","63","3356","1","477","","293","779","536","","","GCA_001891695_01325","GCA_001891995_01673","",""
"group_1782","","hypothetical protein","2","2","1","63","6701","1","1860","","182","521","351","","","GCA_001891695_02182","","","GCA_001911775_01685"
"dcuA_1","","Anaerobic C4-dicarboxylate transporter DcuA","2","2","1","63","3285","310","14","","1229","1334","1281","","","GCA_001891695_02636","GCA_001891995_03894","",""
"group_1785","","hypothetical protein","2","2","1","63","5616","472","20","","200","200","200","","","GCA_001891695_02865","","GCA_001901445_02752",""
"group_1793","","hypothetical protein","2","2","1","63","7548","1","80","","410","410","410","","","GCA_001891695_03491","","","GCA_001911775_04563"
"group_1794","","hypothetical protein","2","2","1","63","1749","1","562","","548","548","548","","","GCA_001891695_03494","GCA_001891995_03216","",""
"papB","","Major pilu subunit operon regulatory protein PapB","2","2","1","63","1703","1","589","","272","314","293","","","GCA_001891695_03501","GCA_001891995_02346","",""
"yhdJ_1","","DNA adenine methyltransferase YhdJ","2","2","1","63","2394","1","326","","683","683","683","","","GCA_001891695_03514","","","GCA_001911775_02944"
"group_1798","","hypothetical protein","2","2","1","63","2401","1","1605","","434","434","434","","","GCA_001891695_03516","GCA_001891995_01411","",""
"group_180","","hypothetical protein","2","2","1","63","3346","1","479","","290","617","453","GCA_001614485_00195","","GCA_001891695_03492","","",""
"klcA_1","","Antirestriction protein KlcA","2","2","1","63","2398","1","1604","","425","425","425","","","GCA_001891695_03518","GCA_001891995_01413","",""
"group_1801","","hypothetical protein","2","2","1","63","2397","1","1603","","422","422","422","","","GCA_001891695_03519","GCA_001891995_01414","",""
"group_1802","","hypothetical protein","2","2","1","63","2396","1","1602","","191","191","191","","","GCA_001891695_03520","GCA_001891995_01415","",""
"group_1803","","hypothetical protein","2","2","1","63","2304","1","1596","","434","434","434","","","GCA_001891695_03525","GCA_001891995_01419","",""
"group_1804","","hypothetical protein","2","2","1","63","2301","1","1592","","500","500","500","","","GCA_001891695_03528","GCA_001891995_01422","",""
"group_1805","","hypothetical protein","2","2","1","63","2299","1","1590","","266","266","266","","","GCA_001891695_03530","GCA_001891995_01424","",""
"group_1806","","hypothetical protein","2","2","1","63","2293","1","1585","","848","848","848","","","GCA_001891695_03535","GCA_001891995_01428","",""
"group_1807","","hypothetical protein","2","2","1","63","2291","1","1584","","335","335","335","","","GCA_001891695_03536","GCA_001891995_01429","",""
"group_1810","","hypothetical protein","2","2","1","63","4233","1","1272","","155","494","324","","","GCA_001891695_03606","GCA_001891995_04198","",""
"hin_2","","DNA-invertase hin","2","2","1","63","5686","472","63","","566","566","566","","","GCA_001891695_03608","","GCA_001901445_02786",""
"group_1812","","hypothetical protein","2","2","1","63","6281","4","20","","275","275","275","","","GCA_001891695_03681","","GCA_001901445_03979",""
"yfcP","","putative fimbrial-like protein YfcP","2","2","1","63","4855","313","5","","539","539","539","","","GCA_001891695_04006","","GCA_001901445_04221",""
"group_1817","","hypothetical protein","2","2","1","63","7468","1","2025","","242","242","242","","","GCA_001891695_04042","","GCA_001901445_04254",""
"group_1818","","hypothetical protein","2","2","1","63","7471","1","2027","","437","437","437","","","GCA_001891695_04044","","GCA_001901445_04257",""
"torI","","Response regulator inhibitor for tor operon","2","2","1","63","5190","1","1945","","200","257","228","","","GCA_001891695_04079","","GCA_001901445_04290",""
"group_182","","hypothetical protein","2","2","1","63","1766","1","560","","560","575","567","GCA_001614485_01246","","","GCA_001891995_03016","",""
"group_1828","","hypothetical protein","2","2","1","63","1869","1","875","","488","488","488","","","GCA_001891695_04558","GCA_001891995_02072","",""
"group_1829","","hypothetical protein","2","2","1","63","2509","460","1","","4562","4562","4562","","","GCA_001891695_04640","","","GCA_001911775_03953"
"group_1838","","hypothetical protein","2","2","1","63","3077","1","1704","","131","704","417","","","GCA_001891695_04852","","GCA_001901445_04656",""
"group_1841","","hypothetical protein","2","2","1","63","1091","7","40","","443","455","449","","","GCA_001891695_05016","GCA_001891995_00917","",""
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","2","2","1","63","1719","1","671","","494","638","566","","","GCA_001891695_05035","GCA_001891995_04763","",""
"ble","","Bleomycin resistance protein","2","2","1","63","1718","1","669","","260","365","312","","","GCA_001891695_05036","GCA_001891995_04762","",""
"group_1844","","hypothetical protein","2","2","1","63","2131","1","654","","3938","6767","5352","","","GCA_001891695_05062","","GCA_001901445_04562",""
"group_1845","","hypothetical protein","2","2","1","63","4656","1","1918","","1019","1526","1272","","","GCA_001891695_05133","","","GCA_001911775_02521"
"virB_2","","Virulence regulon transcriptional activator VirB","2","2","1","63","2392","1","1611","","971","971","971","","","GCA_001891695_05221","","","GCA_001911775_02947"
"pagN_2","","Outer membrane protein PagN","2","2","1","63","1687","1","573","","737","737","737","","","GCA_001891695_05288","GCA_001891995_04520","",""
"group_1852","","hypothetical protein","2","2","1","63","1686","1","572","","896","896","896","","","GCA_001891695_05289","GCA_001891995_04519","",""
"group_1854","","hypothetical protein","2","2","1","63","1685","1","571","","1052","1079","1065","","","GCA_001891695_05290","GCA_001891995_00426","",""
"group_1857","","hypothetical protein","2","2","1","63","4710","710","65","","512","512","512","","","","GCA_001891995_00040","","GCA_001911775_01189"
"group_1858","","hypothetical protein","2","2","1","63","4708","710","63","","2807","2807","2807","","","","GCA_001891995_00042","","GCA_001911775_01187"
"group_1859","","hypothetical protein","2","2","1","63","4796","710","53","","581","581","581","","","","GCA_001891995_00050","","GCA_001911775_01181"
"group_1860","","hypothetical protein","2","2","1","63","4799","710","50","","407","407","407","","","","GCA_001891995_00053","","GCA_001911775_01178"
"group_1861","","hypothetical protein","2","2","1","63","4805","710","44","","1052","1052","1052","","","","GCA_001891995_00059","","GCA_001911775_01172"
"group_1862","","hypothetical protein","2","2","1","63","4806","710","43","","836","836","836","","","","GCA_001891995_00060","","GCA_001911775_01171"
"group_1863","","hypothetical protein","2","2","1","63","4808","710","41","","1046","1046","1046","","","","GCA_001891995_00062","","GCA_001911775_01169"
"group_1864","","hypothetical protein","2","2","1","63","4821","710","33","","299","299","299","","","","GCA_001891995_00070","","GCA_001911775_01161"
"group_1865","","hypothetical protein","2","2","1","63","4824","710","30","","113","113","113","","","","GCA_001891995_00073","","GCA_001911775_01157"
"group_1866","","hypothetical protein","2","2","1","63","4829","710","25","","287","287","287","","","","GCA_001891995_00080","","GCA_001911775_01152"
"group_1872","","hypothetical protein","2","2","1","63","7630","1","1199","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","152","158","155","","","","GCA_001891995_01101","","GCA_001911775_00191"
"group_1873","","hypothetical protein","2","2","1","63","7636","1","1204","","170","227","198","","","","GCA_001891995_01106","","GCA_001911775_02414"
"group_1874","","hypothetical protein","2","2","1","63","7624","1","1233","","1277","1334","1305","","","","GCA_001891995_01118","","GCA_001911775_02402"
"group_1875","","hypothetical protein","2","2","1","63","3086","1","1719","","185","353","269","","","","GCA_001891995_01682","","GCA_001911775_04568"
"group_1877","","hypothetical protein","2","2","1","63","1678","1","608","","242","275","258","","","","GCA_001891995_02355","GCA_001901445_04530",""
"group_1879","","hypothetical protein","2","2","1","63","3064","1","1716","","470","602","536","","","","GCA_001891995_02588","","GCA_001911775_00065"
"entF_1","","Enterobactin synthase component F","2","2","1","63","5388","161","2","","2282","3881","3081","GCA_001614485_00464","GCA_001683595_01873","","","",""
"intA_4","","Prophage integrase IntA","2","2","1","63","3382","1","1438","","1193","1265","1229","","","","GCA_001891995_03560","","GCA_001911775_02646"
"group_1887","","hypothetical protein","2","2","1","63","132","12","6","","1598","1748","1673","","","","GCA_001891995_03896","GCA_001901445_00031",""
"group_1888","","hypothetical protein","2","2","1","63","7023","367","2","","179","203","191","","","","GCA_001891995_04363","","GCA_001911775_04655"
"group_1889","","hypothetical protein","2","2","1","94","1","725","1","Investigate","566","722","644","","","","GCA_001891995_04474","","GCA_001911775_00190"
"rhsC_6","","Putative deoxyribonuclease RhsC","2","2","1","63","5348","48","7","","269","710","489","","","","GCA_001891995_04787","GCA_001901445_02421",""
"group_1894","","hypothetical protein","2","2","1","63","1415","324","3","","371","371","371","","","","","GCA_001901445_00907","GCA_001911775_00790"
"group_1895","","hypothetical protein","2","2","1","63","1110","714","1","","269","317","293","","","","","GCA_001901445_01027","GCA_001911775_03979"
"group_1896","","hypothetical protein","2","2","1","63","716","764","3","","365","503","434","","","","","GCA_001901445_01514","GCA_001911775_02864"
"nadB_1","","hypothetical protein","2","2","1","63","3757","9","18","","2081","2081","2081","","","","","GCA_001901445_01667","GCA_001911775_02074"
"group_1900","xerC_3","Tyrosine recombinase XerC","2","2","1","63","7615","1","2118","","836","1163","999","","","","","GCA_001901445_02156","GCA_001911775_00355"
"group_1901","","hypothetical protein","2","2","1","63","7606","1","2130","","338","338","338","","","","","GCA_001901445_02165","GCA_001911775_03395"
"group_1902","","hypothetical protein","2","2","1","63","7604","1","2132","","491","494","492","","","","","GCA_001901445_02167","GCA_001911775_03393"
"group_1903","","hypothetical protein","2","2","1","63","7381","1","2151","","851","1205","1028","","","","","GCA_001901445_02186","GCA_001911775_03390"
"group_1904","","hypothetical protein","2","2","1","63","7374","1","1171","","323","323","323","","","","","GCA_001901445_02188","GCA_001911775_03388"
"group_1905","","hypothetical protein","2","2","1","63","7373","1","1173","","410","410","410","","","","","GCA_001901445_02189","GCA_001911775_03387"
"group_1906","","hypothetical protein","2","2","1","63","7371","1","1181","","1328","1709","1518","","","","","GCA_001901445_02197","GCA_001911775_03385"
"group_1907","","hypothetical protein","2","2","1","63","7365","1","1182","","1037","1079","1058","","","","","GCA_001901445_02198","GCA_001911775_03384"
"group_191","","hypothetical protein","2","2","1","63","7577","1","2115","","215","215","215","","","","GCA_001891995_03057","","GCA_001911775_00559"
"group_192","","hypothetical protein","2","2","1","63","7559","1","1865","","206","215","210","","","GCA_001891695_02170","","","GCA_001911775_01690"
"group_1928","","hypothetical protein","2","2","1","63","6011","15","33","","401","401","401","GCA_001614485_00046","","GCA_001891695_05010","","",""
"yciC","","Putative metal chaperone YciC","2","2","1","66","6","73","1","","1193","1193","1193","GCA_001614485_00055","","GCA_001891695_02164","","",""
"codB_1","","Cytosine permease","2","2","1","63","7962","1","427","","1223","1223","1223","GCA_001614485_00079","GCA_001683595_00145","","","",""
"atzF","","Allophanate hydrolase","2","2","1","63","7961","1","428","","389","389","389","GCA_001614485_00080","GCA_001683595_00146","","","",""
"intS_1","","Prophage integrase IntS","2","2","1","63","2742","7","49","","338","338","338","GCA_001614485_00105","GCA_001683595_01618","","","",""
"mprA_1","","Transcriptional repressor MprA","2","2","1","63","2743","7","50","","524","524","524","GCA_001614485_00106","GCA_001683595_01619","","","",""
"group_1957","","hypothetical protein","2","2","1","63","7570","1","2109","","212","212","212","GCA_001614485_00139","","GCA_001891695_02178","","",""
"cbtA_2","","Cytoskeleton-binding toxin CbtA","2","2","1","63","618","1","884","","374","377","375","","GCA_001683595_03859","GCA_001891695_04658","","",""
"group_1960","nhaR","Transcriptional activator protein NhaR","2","2","1","63","3513","225","1","","899","899","899","GCA_001614485_00146","GCA_001683595_02872","","","",""
"cbtA_5","","Cytoskeleton-binding toxin CbtA","2","2","1","63","2427","1","1037","","374","377","375","GCA_001614485_00952","","GCA_001891695_04736","","",""
"icd_2","","Isocitrate dehydrogenase [NADP]","2","2","1","63","1902","1","1770","","152","152","152","GCA_001614485_00210","GCA_001683595_03236","","","",""
"group_1976","","hypothetical protein","2","2","1","63","814","256","1","","209","209","209","GCA_001614485_00212","GCA_001683595_02412","","","",""
"group_1978","","Acetyltransferase","2","2","1","63","4736","246","1","","461","461","461","GCA_001614485_00229","GCA_001683595_01194","","","",""
"group_1980","","hypothetical protein","2","2","1","63","3019","61","5","","530","530","530","GCA_001614485_00251","","GCA_001891695_01336","","",""
"group_1985","","hypothetical protein","2","2","1","63","6985","60","1","","1022","1022","1022","GCA_001614485_00312","GCA_001683595_03276","","","",""
"group_1986","ybjP","putative lipoprotein YbjP","2","2","1","63","5713","205","1","","515","515","515","GCA_001614485_00321","GCA_001683595_02178","","","",""
"klcA_3","","Antirestriction protein KlcA","2","2","1","63","1650","1","519","","485","485","485","","","GCA_001891695_04553","GCA_001891995_03032","",""
"group_2001","","hypothetical protein","2","2","1","63","2804","1","113","","251","251","251","GCA_001614485_00394","","GCA_001891695_01001","","",""
"group_2002","","hypothetical protein","2","2","1","63","2805","1","115","","137","137","137","GCA_001614485_00395","","GCA_001891695_02162","","",""
"group_2003","","hypothetical protein","2","2","1","63","6705","1","1814","","254","254","254","GCA_001614485_00411","","","","","GCA_001911775_04273"
"group_2004","","hypothetical protein","2","2","1","63","6742","1","1815","","419","419","419","GCA_001614485_00412","","","","","GCA_001911775_04272"
"group_2009","","hypothetical protein","2","2","1","63","6329","124","3","","959","959","959","GCA_001614485_00437","GCA_001683595_01169","","","",""
"group_2010","","hypothetical protein","2","2","1","63","6930","1","1883","","386","386","386","GCA_001614485_00442","","GCA_001891695_04590","","",""
"group_2011","","hypothetical protein","2","2","1","63","6931","1","1882","","743","743","743","GCA_001614485_00443","","GCA_001891695_04591","","",""
"group_2012","","hypothetical protein","2","2","1","63","6932","1","1881","","401","401","401","GCA_001614485_00444","","GCA_001891695_04592","","",""
"group_2013","","hypothetical protein","2","2","1","63","6933","1","1880","","578","578","578","GCA_001614485_00445","","GCA_001891695_04593","","",""
"group_2014","","hypothetical protein","2","2","1","63","6934","1","1879","","275","275","275","GCA_001614485_00446","","GCA_001891695_04594","","",""
"group_2015","","hypothetical protein","2","2","1","63","6935","1","1878","","323","323","323","GCA_001614485_00447","","GCA_001891695_04595","","",""
"clpP_2","","ATP-dependent Clp protease proteolytic subunit","2","2","1","63","6936","1","1877","","2027","2027","2027","GCA_001614485_00448","","GCA_001891695_04596","","",""
"group_2017","","hypothetical protein","2","2","1","63","6937","1","1876","","1508","1508","1508","GCA_001614485_00449","","GCA_001891695_04597","","",""
"group_2018","","hypothetical protein","2","2","1","63","6938","1","1875","","212","212","212","GCA_001614485_00450","","GCA_001891695_04598","","",""
"group_2022","","hypothetical protein","2","2","1","63","7556","1","1868","","497","497","497","GCA_001614485_00456","","GCA_001891695_02167","","",""
"pchR","","Regulatory protein PchR","2","2","1","63","3273","21","14","","959","959","959","GCA_001614485_00485","GCA_001683595_00869","","","",""
"group_2028","","Putative multidrug export ATP-binding/permease protein","2","2","1","63","3271","21","12","","1802","1802","1802","GCA_001614485_00487","GCA_001683595_00867","","","",""
"group_2039","","hypothetical protein","2","2","1","63","7969","1","408","","95","95","95","GCA_001614485_00533","GCA_001683595_00152","","","",""
"group_2040","","hypothetical protein","2","2","1","63","8031","51","6","","1490","1490","1490","GCA_001614485_00536","GCA_001683595_00155","","","",""
"group_2041","","hypothetical protein","2","2","1","63","8030","51","5","","506","506","506","GCA_001614485_00537","GCA_001683595_00156","","","",""
"group_2042","","hypothetical protein","2","2","1","63","8029","51","4","","974","974","974","GCA_001614485_00538","GCA_001683595_00157","","","",""
"dgoA_1","","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","2","2","1","63","8028","51","3","","629","629","629","GCA_001614485_00539","GCA_001683595_00158","","","",""
"dgoK1_1","","putative 2-dehydro-3-deoxygalactonokinase DgoK1","2","2","1","63","8027","51","2","","1004","1004","1004","GCA_001614485_00540","GCA_001683595_00159","","","",""
"kdgR_1","","Transcriptional regulator KdgR","2","2","1","63","8026","51","1","","767","767","767","GCA_001614485_00541","GCA_001683595_00160","","","",""
"iutA","","Ferric aerobactin receptor","2","2","1","63","1883","1","1776","","2201","2201","2201","GCA_001614485_00549","","GCA_001891695_05245","","",""
"iucD","","L-lysine N6-monooxygenase","2","2","1","63","1884","1","1777","","1277","1277","1277","GCA_001614485_00550","","GCA_001891695_05244","","",""
"iucC","","Aerobactin synthase","2","2","1","63","1885","1","1778","","1742","1742","1742","GCA_001614485_00551","","GCA_001891695_05243","","",""
"iucB","","N(6)-hydroxylysine O-acetyltransferase","2","2","1","63","1886","1","1779","","947","947","947","GCA_001614485_00552","","GCA_001891695_05242","","",""
"group_205","","putative autotransporter","2","2","1","63","95","12","34","","326","4580","2453","","","GCA_001891695_02064","","","GCA_001911775_02767"
"iucA","","N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase","2","2","1","63","1887","1","1780","","1724","1724","1724","GCA_001614485_00553","","GCA_001891695_05241","","",""
"group_2051","","hypothetical protein","2","2","1","63","1888","1","1781","","1193","1193","1193","GCA_001614485_00554","","GCA_001891695_05240","","",""
